350
33 188
8 12 128271
2 9 258207
15 14 165794
8 18 9044
6 16 217816
10 6 481126
14 13 409813
6 5 97073
3 15 133812
10 8 381978
11 8 69429
3 10 460892
1 14 123384
5 14 97378
1 6 62188
10 13 329520
12 16 237054
1 12 81426
7 5 164633
3 7 159712
14 12 41958
3 2 145868
7 13 436207
17 8 88470
13 12 390270
11 15 51449
15 13 339990
16 7 311161
13 4 333233
3 5 65396
2 14 44595
9 4 143237
5 15 68416
5 2 80472
6 9 236332
7 17 202667
10 12 473331
5 4 61659
1 16 155628
1 4 161169
27 301
14 3 224744
14 22 309010
13 26 232339
15 16 190800
3 10 197213
3 6 147433
21 11 259657
19 14 95638
25 20 150728
14 8 133459
6 25 115520
18 6 134478
13 27 227858
22 1 296940
1 5 34093
27 3 244861
7 18 183573
27 22 331125
4 27 194009
27 25 154117
5 24 127148
13 22 199202
2 19 234574
20 3 241472
26 10 159706
12 9 237428
17 16 140032
27 14 121309
1 20 214733
19 16 122450
17 12 169511
4 22 233031
1 16 9573
1 26 108387
22 20 175610
15 6 145321
22 24 296934
6 12 108784
23 22 311698
21 12 251006
24 26 201442
11 14 112701
1 12 168856
5 7 84734
26 3 257366
21 24 222917
20 16 224306
15 21 252974
18 14 150171
11 6 130859
20 8 107621
6 24 91509
6 20 217722
5 12 144423
7 23 73498
7 14 136066
13 2 258811
26 5 74294
23 8 158006
16 18 142505
5 4 148955
26 19 214090
24 20 173317
17 24 152236
4 6 113316
1 10 119531
27 11 216560
11 7 94276
1 7 118827
16 11 139513
10 16 129078
4 26 220972
13 6 147145
21 14 184421
23 5 120129
10 25 165303
6 14 86971
6 9 252327
23 11 167774
12 7 157879
25 7 158166
4 9 145441
10 11 180632
7 17 109822
25 26 225453
21 1 167182
2 15 299339
15 20 195720
16 9 258911
8 25 43107
25 14 176566
14 17 142529
22 15 322373
2 17 252156
18 11 262872
2 11 251637
4 8 3215
11 20 86863
4 23 154791
19 7 77213
18 9 317874
3 13 164473
12 25 52095
12 8 95202
15 11 117933
12 15 106163
24 13 97732
16 22 306513
10 15 195094
19 18 245809
4 25 39892
3 4 130636
8 19 37821
8 21 242013
23 18 218968
27 24 130106
16 3 217078
10 24 141282
8 6 110101
15 14 163988
27 7 257375
15 8 97190
2 9 289089
7 22 276303
4 12 91987
2 25 245267
18 10 184251
3 22 363667
22 19 251605
22 5 262847
25 17 176253
23 20 254637
13 14 119875
18 1 132932
21 25 198906
16 27 148121
8 24 67118
14 26 125626
16 14 26812
18 13 270046
3 17 208160
19 11 17063
26 22 285746
18 22 232714
24 11 86454
15 9 230325
7 13 129616
23 21 264612
4 17 174043
25 5 151159
27 1 138548
20 2 323694
8 18 244579
21 6 236914
11 22 234542
4 20 110836
1 19 112877
13 15 123193
6 17 60727
5 13 171207
6 26 109933
9 19 138531
4 18 247811
9 26 144741
5 15 180960
17 20 229558
4 21 238798
2 16 112138
4 15 93960
4 14 136674
27 6 208280
27 12 206212
21 5 201275
5 11 164033
16 4 163486
24 1 161241
8 11 20758
22 6 227208
6 5 35639
25 1 185252
11 3 154609
16 7 128400
6 23 84490
12 24 76106
20 10 240512
8 16 160271
16 13 146687
24 2 269278
10 8 159874
14 10 131575
26 27 246034
11 17 191586
26 21 275569
3 9 276077
9 17 264163
24 23 138910
19 12 133023
9 8 142226
1 14 17239
5 9 219035
13 9 156808
5 2 155790
25 3 90744
8 26 217757
6 10 49773
26 2 230084
3 1 207505
20 13 122203
25 16 194825
21 2 211262
18 12 243262
15 26 255254
2 3 154523
10 5 85412
26 18 173133
23 15 60831
13 8 37044
8 27 197224
12 20 202823
6 2 191429
17 27 263838
24 14 178480
13 10 196918
17 10 10954
23 3 205643
8 5 145740
17 18 195205
13 19 52403
21 13 224317
16 12 178429
27 2 260245
25 19 80928
19 3 171672
3 7 196528
14 23 171461
12 13 125816
19 20 103926
15 27 208185
21 9 244981
1 23 154222
27 19 216947
25 13 73721
25 24 24011
1 8 150698
1 17 130459
10 4 163089
16 26 117960
3 5 183072
5 16 43666
8 22 236246
15 25 54068
8 2 272395
3 15 144812
17 19 187035
23 19 150711
24 19 103517
7 6 49095
4 19 41036
4 13 33829
18 3 241240
21 17 297641
24 9 207922
2 10 241202
12 3 38649
22 10 177435
24 16 170814
23 2 275919
13 11 35340
1 9 249338
2 18 254629
22 21 423519
20 7 181139
4 7 118249
7 26 159028
12 23 166994
4 11 23973
23 17 145217
26 12 218717
25 18 249998
4 24 63903
14 9 232099
13 17 207872
21 18 300114
26 17 170660
5 27 172641
11 9 121468
23 25 114899
24 7 140604
23 9 289242
20 9 34605
10 12 158557
19 5 146970
1 11 129940
4 2 275610
8 17 170828
3 24 114755
16 21 157609
1 13 137114
13 23 184002
25 9 185333
15 19 134996
2 1
1 2 1000000
46 1000
19 2 52253
18 26 109155
45 27 49231
10 5 59204
43 6 120940
24 14 16930
45 2 45504
23 10 39142
20 29 73170
12 7 76575
7 32 53925
29 34 84979
34 36 33834
22 46 74100
20 9 66477
9 46 56476
24 33 51226
19 17 77828
19 1 51026
42 28 133330
45 10 65052
17 13 139076
5 43 75084
39 38 18638
21 7 85431
28 18 203296
45 9 70127
25 32 121581
11 4 88051
15 5 61816
5 26 46875
10 9 57442
27 9 101261
41 28 142206
1 34 52436
6 14 83028
15 19 74413
45 40 83050
4 14 81608
30 21 125914
45 6 83407
17 27 75085
14 20 21660
11 31 39237
1 38 24105
34 41 38492
44 12 107880
3 37 79774
3 4 155068
40 4 139348
22 38 67579
45 5 34726
29 30 111433
17 33 80065
42 37 52560
15 42 119014
23 33 69928
16 28 174434
38 25 102458
3 41 68437
40 28 204969
27 5 51577
37 4 112251
29 46 62439
14 34 33469
41 6 88051
6 23 86743
27 12 90574
20 31 23266
7 14 18116
18 2 61548
22 24 79371
10 30 101737
2 7 2078
28 39 163691
18 24 98672
46 10 51401
20 40 42621
44 45 34157
2 20 41854
24 29 67710
7 44 62444
45 7 43426
4 35 116450
34 42 55386
17 20 67429
4 42 129390
35 41 75448
8 1 41592
19 6 90758
1 21 101421
37 26 47780
39 23 59408
9 8 67442
32 19 104100
36 31 1241
29 2 51860
17 31 47375
15 34 90418
30 8 45696
24 44 66351
28 2 167423
22 10 65951
29 19 82839
11 12 96090
26 36 27778
33 21 116750
7 27 51588
8 41 17602
2 36 20559
27 13 159095
35 2 55036
1 42 66749
16 20 74540
15 37 87592
29 14 51510
43 45 91985
18 11 88185
18 31 83348
13 46 114310
30 39 78457
28 44 163803
16 43 88924
40 14 57740
36 41 4658
22 26 89854
15 43 136900
43 32 144111
17 18 35973
15 25 106231
2 43 92264
12 22 120900
10 20 51948
11 20 49015
43 23 76826
44 15 83644
33 2 54490
4 16 98256
15 13 183929
1 41 23990
20 44 81127
